Indicator,Bin,Lower,Upper,Score
MVRV,-0.83~-0.15,-0.83,-0.15,100.0
MVRV,-0.15~0.25,-0.15,0.25,89.2
MVRV,0.25~0.56,0.25,0.56,88.9
MVRV,0.56~0.9,0.56,0.9,82.5
MVRV,0.9~1.25,0.9,1.25,73.7
MVRV,1.25~1.56,1.25,1.56,66.9
MVRV,1.56~1.96,1.56,1.96,64.9
MVRV,1.96~2.62,1.96,2.62,65.7
MVRV,2.62~3.85,2.62,3.85,64.7
MVRV,3.85~12.55,3.85,12.55,55.5
STH_MVRV,0.21~0.81,0.21,0.81,60.7
STH_MVRV,0.81~0.91,0.81,0.91,64.5
STH_MVRV,0.91~1.0,0.91,1.0,79.4
STH_MVRV,1.0~1.06,1.0,1.06,82.4
STH_MVRV,1.06~1.13,1.06,1.13,85.4
STH_MVRV,1.13~1.23,1.13,1.23,90.9
STH_MVRV,1.23~1.39,1.23,1.39,81.1
STH_MVRV,1.39~4.14,1.39,4.14,65.7
LTH_MVRV,0.56~0.93,0.56,0.93,100.0
LTH_MVRV,0.93~1.26,0.93,1.26,96.3
LTH_MVRV,1.26~1.56,1.26,1.56,85.9
LTH_MVRV,1.56~1.99,1.56,1.99,90.3
LTH_MVRV,1.99~2.41,1.99,2.41,83.7
LTH_MVRV,2.41~2.91,2.41,2.91,66.4
LTH_MVRV,2.91~3.82,2.91,3.82,60.0
LTH_MVRV,3.82~6.67,3.82,6.67,61.1
LTH_MVRV,6.67~14.5,6.67,14.5,59.7
LTH_MVRV,14.5~374.84,14.5,374.84,46.8
SOPR,0.65~0.99,0.65,0.99,80.1
SOPR,0.99~1.0,0.99,1.0,73.6
SOPR,1.01~1.01,1.01,1.01,78.7
SOPR,1.01~1.03,1.01,1.03,71.8
SOPR,1.03~1.9,1.03,1.9,76.1
SOPR,1.0~1.0,1.0,1.0,74.0
SOPR,1.0~1.01,1.0,1.01,78.4
STH_SOPR,0.6~0.97,0.6,0.97,61.9
STH_SOPR,0.97~0.99,0.97,0.99,62.9
STH_SOPR,0.99~0.99,0.99,0.99,71.3
STH_SOPR,0.99~1.0,0.99,1.0,80.9
STH_SOPR,1.0~1.0,1.0,1.0,84.7
STH_SOPR,1.0~1.01,1.0,1.01,83.4
STH_SOPR,1.01~1.02,1.01,1.02,82.2
STH_SOPR,1.02~1.03,1.02,1.03,83.6
STH_SOPR,1.03~1.05,1.03,1.05,77.9
STH_SOPR,1.05~2.9,1.05,2.9,72.1
LTH_SOPR,0.15~0.6,0.15,0.6,98.1
LTH_SOPR,0.6~0.85,0.6,0.85,88.7
LTH_SOPR,0.85~1.13,0.85,1.13,83.7
LTH_SOPR,1.13~1.37,1.13,1.37,82.2
LTH_SOPR,1.37~1.65,1.37,1.65,79.6
LTH_SOPR,1.65~2.0,1.65,2.0,72.6
LTH_SOPR,2.0~2.55,2.0,2.55,71.1
LTH_SOPR,2.55~4.62,2.55,4.62,66.7
LTH_SOPR,4.62~9.43,4.62,9.43,58.7
LTH_SOPR,9.43~397.74,9.43,397.74,51.1
Exchange_Netflow,-92845.69~-5177.09,-92845.69,-5177.09,75.7
Exchange_Netflow,-5177.09~-2343.48,-5177.09,-2343.48,76.2
Exchange_Netflow,-2343.48~-856.91,-2343.48,-856.91,77.4
Exchange_Netflow,-856.91~0.0,-856.91,0.0,78.0
Exchange_Netflow,0.0~631.29,0.0,631.29,85.2
Exchange_Netflow,631.29~1578.63,631.29,1578.63,75.4
Exchange_Netflow,1578.63~3212.68,1578.63,3212.68,71.6
Exchange_Netflow,3212.68~6430.29,3212.68,6430.29,71.8
Exchange_Netflow,6430.29~98530.23,6430.29,98530.23,70.3
Puell_Multiple,0.28~0.56,0.28,0.56,93.7
Puell_Multiple,0.56~0.71,0.56,0.71,87.2
Puell_Multiple,0.71~0.83,0.71,0.83,85.2
Puell_Multiple,0.83~0.99,0.83,0.99,74.9
Puell_Multiple,0.99~1.17,0.99,1.17,67.3
Puell_Multiple,1.17~1.32,1.17,1.32,74.0
Puell_Multiple,1.32~1.56,1.32,1.56,74.0
Puell_Multiple,1.56~2.0,1.56,2.0,76.4
Puell_Multiple,2.0~2.92,2.0,2.92,75.7
Puell_Multiple,2.92~24.81,2.92,24.81,51.6
Reserve_Risk_Adjusted,0.11~0.41,0.11,0.41,83.5
Reserve_Risk_Adjusted,0.41~0.55,0.41,0.55,68.9
Reserve_Risk_Adjusted,0.55~0.76,0.55,0.76,52.2
Reserve_Risk_Adjusted,0.76~0.91,0.76,0.91,72.6
Reserve_Risk_Adjusted,0.91~1.07,0.91,1.07,90.3
Reserve_Risk_Adjusted,1.07~1.19,1.07,1.19,94.8
Reserve_Risk_Adjusted,1.19~1.35,1.19,1.35,89.8
Reserve_Risk_Adjusted,1.35~1.91,1.35,1.91,77.8
Reserve_Risk_Adjusted,1.91~7.25,1.91,7.25,60.9
LTH_STH_Supply_Ratio,0.74~1.26,0.74,1.26,84.8
LTH_STH_Supply_Ratio,1.26~1.54,1.26,1.54,53.5
LTH_STH_Supply_Ratio,1.54~2.36,1.54,2.36,74.4
LTH_STH_Supply_Ratio,2.36~2.96,2.36,2.96,77.9
LTH_STH_Supply_Ratio,2.96~3.33,2.96,3.33,85.0
LTH_STH_Supply_Ratio,3.33~3.87,3.33,3.87,76.4
LTH_STH_Supply_Ratio,3.87~4.32,3.87,4.32,92.2
LTH_STH_Supply_Ratio,4.32~4.96,4.32,4.96,65.1
LTH_STH_Supply_Ratio,4.96~6.39,4.96,6.39,76.1
